Year,Game Number,Home Team,Away Team,L_2 Cluster,H_1 Cluster
1999,1,ARI,PHI,10,9
1999,1,BUF,IND,9,8
1999,1,CAR,NO,6,4
1999,1,CIN,TEN,3,1
1999,1,DAL,WAS,8,10
1999,1,DET,SEA,9,8
1999,1,KC,CHI,5,4
1999,1,MIA,DEN,7,4
1999,1,MIN,ATL,5,4
1999,1,NE,NYJ,2,5
1999,1,NYG,TB,2,5
1999,1,OAK,GB,4,2
1999,1,PIT,CLE,9,8
1999,1,SF,JAX,5,8
1999,2,ARI,MIA,7,3
1999,2,ATL,DAL,9,8
1999,2,CLE,TEN,9,8
1999,2,DEN,KC,6,4
1999,2,GB,DET,5,8
1999,2,IND,NE,10,9
1999,2,JAX,CAR,2,5
1999,2,NO,SF,8,10
1999,2,NYJ,BUF,6,4
1999,2,OAK,MIN,2,5
1999,2,PIT,BAL,6,4
1999,2,SD,CIN,9,8
1999,2,SEA,CHI,8,10
1999,2,TB,PHI,5,8
1999,2,WAS,NYG,9,8
1999,3,ATL,STL,9,7
1999,3,CHI,OAK,7,3
1999,3,CIN,CAR,9,8
1999,3,CLE,BAL,9,8
1999,3,DEN,TB,6,4
1999,3,DET,KC,9,8
1999,3,IND,SD,8,2
1999,3,MIN,GB,2,5
1999,3,NYG,NE,7,3
1999,3,PHI,BUF,9,8
1999,3,SEA,PIT,9,7
1999,3,SF,ARI,9,8
1999,3,TEN,JAX,4,2
1999,3,WAS,NYJ,4,5
1999,4,ARI,DAL,9,7
1999,4,BAL,ATL,2,5
1999,4,BUF,MIA,6,4
1999,4,CAR,WAS,2,6
1999,4,JAX,PIT,6,8
1999,4,KC,SD,7,6
1999,4,NE,CLE,7,3
1999,4,NO,CHI,8,10
1999,4,NYJ,DEN,4,2
1999,4,OAK,SEA,4,2
1999,4,PHI,NYG,7,3
1999,4,STL,CIN,9,8
1999,4,TB,MIN,9,8
1999,4,TEN,SF,7,3
1999,5,ATL,NO,2,5
1999,5,BAL,TEN,6,4
1999,5,CHI,MIN,6,4
1999,5,CIN,CLE,8,10
1999,5,DAL,PHI,8,10
1999,5,DEN,OAK,7,3
1999,5,JAX,NYJ,5,8
1999,5,MIA,IND,8,10
1999,5,NE,KC,6,3
1999,5,NYG,ARI,9,8
1999,5,PIT,BUF,5,8
1999,5,SD,DET,2,5
1999,5,SF,STL,9,8
1999,5,TB,GB,6,6
1999,6,CAR,SF,5,4
1999,6,CLE,JAX,6,3
1999,6,DAL,NYG,7,3
1999,6,GB,DEN,5,8
1999,6,IND,NYJ,8,2
1999,6,MIA,NE,10,10
1999,6,MIN,DET,6,4
1999,6,OAK,BUF,5,8
1999,6,PHI,CHI,5,4
1999,6,PIT,CIN,9,8
1999,6,SEA,SD,2,5
1999,6,STL,ATL,9,8
1999,6,TEN,NO,4,2
1999,6,WAS,ARI,5,4
1999,7,ATL,PIT,9,8
1999,7,BUF,SEA,9,7
1999,7,CHI,TB,6,4
1999,7,CIN,IND,9,7
1999,7,CLE,STL,9,7
1999,7,DEN,NE,6,4
1999,7,DET,CAR,6,4
1999,7,GB,SD,9,8
1999,7,KC,BAL,5,8
1999,7,NO,NYG,9,8
1999,7,NYJ,OAK,8,10
1999,7,PHI,MIA,5,4
1999,7,SF,MIN,9,8
1999,7,WAS,DAL,9,8
1999,8,BUF,BAL,8,10
1999,8,CAR,ATL,9,8
1999,8,CHI,WAS,9,7
1999,8,CLE,NO,2,5
1999,8,DAL,IND,4,2
1999,8,JAX,CIN,9,7
1999,8,MIA,OAK,6,4
1999,8,MIN,DEN,2,5
1999,8,NE,ARI,9,8
1999,8,NYG,PHI,8,2
1999,8,SD,KC,9,8
1999,8,SEA,GB,5,8
1999,8,STL,TEN,9,8
1999,8,TB,DET,5,8
1999,9,ARI,NYJ,7,6
1999,9,BAL,CLE,9,8
1999,9,BUF,WAS,5,4
1999,9,CHI,GB,2,5
